Samples	SBS96A	SBS96B	SBS96C
TCGA-67-6215	1.96E-01	1.06E+00	1.07E+00
TCGA-67-6216	2.67E-01	4.91E-01	4.56E-01
TCGA-67-6217	1.38E+00	1.36E+00	7.18E-01
TCGA-69-7760	5.71E-01	7.79E-01	6.25E-01
TCGA-69-7761	4.93E-01	5.06E-01	2.06E-01
TCGA-69-7763	6.90E-01	6.98E-01	3.17E-01
TCGA-69-7764	7.51E-01	8.10E-01	4.82E-01
TCGA-69-7765	5.28E+00	5.29E+00	1.32E+00
TCGA-69-7973	2.39E+00	2.23E+00	7.69E-01
TCGA-69-7974	4.35E+00	4.30E+00	8.99E-01
TCGA-69-7978	4.18E+00	4.24E+00	1.60E+00
TCGA-69-7979	1.22E+01	1.26E+01	1.69E+00
TCGA-69-7980	5.37E+00	5.09E+00	1.79E+00
TCGA-69-8253	1.60E+00	1.59E+00	7.76E-01
TCGA-69-8254	7.06E-01	7.39E-01	2.63E-01
TCGA-69-8255	1.93E+00	1.93E+00	9.96E-01
TCGA-69-A59K	4.00E+00	3.96E+00	1.08E+00
TCGA-71-6725	4.39E-01	7.89E-01	7.29E-01
TCGA-71-8520	5.04E-01	7.68E-01	7.09E-01
TCGA-73-4658	2.09E+00	1.93E+00	1.58E+00
TCGA-73-4659	2.32E+00	2.31E+00	6.85E-01
TCGA-73-4662	2.02E+00	1.94E+00	7.91E-01
TCGA-73-4666	3.25E+00	3.22E+00	8.09E-01
TCGA-73-4668	5.20E+00	5.22E+00	8.20E-01
TCGA-73-4670	2.46E+00	2.41E+00	9.89E-01
TCGA-73-4675	5.30E-01	5.77E-01	3.85E-01
TCGA-73-4676	7.58E-01	8.13E-01	3.59E-01
TCGA-73-4677	1.88E+00	1.80E+00	6.57E-01
TCGA-73-7498	1.11E+00	1.14E+00	3.54E-01
TCGA-73-7499	4.47E-01	7.74E-01	7.32E-01
TCGA-73-A9RS	8.81E+00	9.15E+00	1.41E+00
TCGA-75-5122	8.33E-01	9.96E-01	8.20E-01
TCGA-75-5125	1.25E+00	1.20E+00	8.58E-01
TCGA-75-5126	4.53E+00	4.74E+00	1.70E+00
TCGA-75-5146	2.04E+00	2.08E+00	5.58E-01
TCGA-75-5147	2.17E-01	5.47E-01	5.24E-01
TCGA-75-6203	1.21E-01	1.24E-01	2.00E-02
TCGA-75-6205	4.47E-01	5.22E-01	4.63E-01
TCGA-75-6206	9.60E-01	1.12E+00	5.92E-01
TCGA-75-6207	4.69E-01	7.38E-01	6.40E-01
TCGA-75-6211	3.29E+00	3.35E+00	8.58E-01
TCGA-75-6212	1.75E-01	3.93E-01	3.74E-01
TCGA-75-6214	5.19E+00	4.96E+00	1.85E+00
TCGA-75-7025	2.10E-01	4.64E-01	4.48E-01
TCGA-75-7027	2.61E+00	2.68E+00	5.34E-01
TCGA-75-7030	2.46E-01	2.66E-01	1.03E-01
TCGA-75-7031	1.57E+00	1.48E+00	9.08E-01
TCGA-78-7145	1.78E+00	1.72E+00	7.27E-01
TCGA-78-7146	2.62E+00	2.62E+00	1.44E+00
TCGA-78-7147	2.58E+00	2.66E+00	1.13E+00
TCGA-78-7148	1.87E+00	1.85E+00	6.96E-01
TCGA-78-7149	7.98E-01	1.08E+00	9.73E-01
TCGA-78-7150	1.93E+00	2.05E+00	1.62E+00
TCGA-78-7152	1.32E+00	1.32E+00	1.07E+00
TCGA-78-7153	6.98E-01	1.02E+00	1.01E+00
TCGA-78-7154	1.04E+00	1.44E+00	1.58E+00
TCGA-78-7155	1.36E+01	1.39E+01	1.72E+00
TCGA-78-7156	1.85E+00	1.84E+00	1.66E+00
TCGA-78-7158	2.05E+00	1.97E+00	1.01E+00
TCGA-78-7159	2.65E+00	2.78E+00	6.95E-01
TCGA-78-7160	6.00E-01	6.55E-01	3.55E-01
TCGA-78-7161	1.56E+00	1.37E+00	6.70E-01
TCGA-78-7162	7.35E-01	8.19E-01	6.48E-01
TCGA-78-7163	4.19E-01	5.55E-01	5.18E-01
TCGA-78-7166	1.95E+00	1.96E+00	5.98E-01
TCGA-78-7167	7.91E-01	8.91E-01	8.85E-01
TCGA-78-7220	7.02E+00	7.04E+00	1.52E+00
TCGA-78-7535	1.66E+00	1.63E+00	5.18E-01
