Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-44-7662	7.69E+00	2.51E+00	8.03E+00	1.89E+00	3.77E+00	1.90E+00	2.43E+00
TCGA-44-7667	8.98E+00	2.01E+00	9.61E+00	1.33E+00	4.10E+00	1.75E+00	2.30E+00
TCGA-44-7669	6.67E+00	1.87E+00	7.60E+00	1.40E+00	5.13E+00	1.96E+00	2.60E+00
TCGA-44-7670	1.58E+01	4.49E+00	1.63E+01	3.37E+00	6.49E+00	2.79E+00	3.43E+00
TCGA-44-7671	5.01E+00	1.26E+00	5.25E+00	8.85E-01	3.06E+00	1.85E+00	8.74E-01
TCGA-44-7672	3.79E+00	1.04E+00	3.89E+00	9.39E-01	2.19E+00	1.18E+00	8.82E-01
TCGA-44-8117	6.14E+00	1.83E+00	6.11E+00	1.09E+00	3.02E+00	1.38E+00	1.14E+00
TCGA-44-8119	5.30E+00	1.66E+00	4.85E+00	9.06E-01	3.13E+00	1.66E+00	1.68E+00
TCGA-44-8120	5.42E+00	1.51E+00	6.04E+00	8.94E-01	3.49E+00	1.48E+00	1.18E+00
TCGA-44-A479	2.93E+00	1.25E+00	3.07E+00	6.58E-01	1.78E+00	1.01E+00	7.86E-01
TCGA-44-A47A	1.95E+00	6.03E-01	1.96E+00	1.13E+00	1.54E+00	1.07E+00	5.78E-01
TCGA-44-A47B	6.76E-01	2.85E-01	7.60E-01	1.99E-01	5.18E-01	5.56E-01	6.16E-01
TCGA-44-A47G	8.91E-01	4.00E-01	1.19E+00	6.68E-01	9.56E-01	7.84E-01	7.97E-01
TCGA-44-A4SS	4.09E+00	1.46E+00	4.28E+00	1.18E+00	2.78E+00	1.21E+00	1.42E+00
TCGA-44-A4SU	1.75E+00	5.48E-01	1.83E+00	4.53E-01	1.56E+00	1.11E+00	5.88E-01
TCGA-49-4486	1.19E+00	4.45E-01	1.61E+00	1.16E+00	9.63E-01	8.30E-01	1.12E+00
TCGA-49-4487	3.58E+00	1.19E+00	3.45E+00	9.17E-01	2.10E+00	8.69E-01	1.20E+00
TCGA-49-4488	2.65E+00	9.73E-01	2.53E+00	8.25E-01	1.45E+00	6.90E-01	1.48E+00
TCGA-49-4490	2.97E-02	1.80E-01	6.81E-01	5.13E-01	9.39E-01	9.14E-01	1.90E-01
TCGA-49-4494	2.31E+00	7.27E-01	2.25E+00	5.55E-01	9.45E-01	8.05E-01	4.25E-01
TCGA-49-4501	3.50E-01	2.06E-01	3.70E-01	4.83E-01	7.57E-01	7.79E-01	7.56E-01
TCGA-49-4505	2.22E+00	8.78E-01	2.33E+00	6.50E-01	1.27E+00	9.17E-01	9.90E-01
TCGA-49-4506	1.42E+00	5.75E-01	1.87E+00	3.96E-01	1.44E+00	7.01E-01	8.71E-01
TCGA-49-4507	1.96E+00	6.01E-01	2.50E+00	9.87E-01	1.22E+00	1.01E+00	1.01E+00
TCGA-49-4510	7.61E-01	5.30E-01	1.10E+00	3.05E-01	9.72E-01	3.70E-01	4.31E-01
TCGA-49-4512	5.86E-01	2.30E-01	6.79E-01	3.42E-01	5.70E-01	5.98E-01	4.13E-01
TCGA-49-4514	2.76E+00	9.05E-01	2.91E+00	1.44E+00	1.73E+00	1.10E+00	1.18E+00
TCGA-49-6742	1.43E+00	5.50E-01	1.24E+00	1.95E+00	9.00E-01	1.14E+00	1.69E+00
TCGA-49-6743	4.98E+00	1.51E+00	6.05E+00	2.17E+00	4.39E+00	1.20E+00	3.46E+00
TCGA-49-6744	2.96E+00	1.00E+00	2.98E+00	5.24E-01	1.70E+00	7.31E-01	8.52E-01
TCGA-49-6745	4.31E-01	3.54E-01	9.45E-01	1.04E+00	1.24E+00	9.55E-01	9.52E-01
TCGA-49-6761	2.11E+00	1.56E+00	1.73E+00	1.28E+00	1.49E+00	8.59E-01	1.30E+00
TCGA-49-6767	4.26E+00	1.36E+00	4.45E+00	8.75E-01	2.54E+00	1.06E+00	1.39E+00
TCGA-49-AAQV	6.14E-01	1.31E-01	8.41E-01	6.31E-01	8.33E-01	6.71E-01	2.55E-01
TCGA-49-AAR0	1.89E+00	5.17E-01	2.21E+00	6.83E-01	1.33E+00	7.29E-01	1.00E+00
TCGA-49-AAR2	4.50E+00	1.32E+00	4.32E+00	6.15E-01	1.89E+00	9.79E-01	7.44E-01
TCGA-49-AAR3	1.79E+00	6.18E-01	1.85E+00	5.34E-01	1.29E+00	8.46E-01	7.37E-01
TCGA-49-AAR4	4.93E+00	1.34E+00	4.72E+00	1.77E+00	2.38E+00	7.04E-01	1.38E+00
TCGA-49-AAR9	6.12E+00	1.40E+00	6.56E+00	9.94E-01	2.74E+00	1.51E+00	1.13E+00
TCGA-49-AARE	9.46E+00	2.53E+00	9.58E+00	2.02E+00	4.87E+00	2.03E+00	2.30E+00
TCGA-49-AARN	5.17E+00	1.54E+00	6.63E+00	2.10E+00	6.22E+00	2.70E-01	7.81E+00
TCGA-49-AARO	5.63E+00	1.76E+00	5.58E+00	9.51E-01	2.15E+00	3.61E-01	6.26E-01
TCGA-49-AARQ	5.70E+00	1.93E+00	6.21E+00	1.78E+00	2.59E+00	1.11E+00	1.79E+00
TCGA-49-AARR	1.05E-01	0.00E+00	1.08E-01	0.00E+00	9.26E-02	1.16E-01	3.15E-02
TCGA-4B-A93V	1.70E+00	7.31E-01	1.73E+00	5.73E-01	1.28E+00	6.46E-01	7.90E-01
TCGA-50-5044	3.97E-01	4.48E-01	8.37E-01	1.08E+00	8.82E-01	5.00E-01	8.74E-01
TCGA-50-5045	3.07E+00	1.24E+00	2.93E+00	6.16E-01	1.63E+00	3.33E-01	4.37E-01
TCGA-50-5049	7.56E+00	2.32E+00	7.69E+00	1.17E+00	4.24E+00	5.04E-01	1.25E+00
TCGA-50-5051	1.50E+00	6.24E-01	1.85E+00	4.50E-01	1.16E+00	8.40E-01	4.83E-01
TCGA-50-5055	9.13E-02	0.00E+00	2.63E-01	2.30E-01	3.72E-01	4.17E-01	3.05E-01
TCGA-50-5066	5.96E+00	1.45E+00	7.02E+00	1.32E+00	4.29E+00	1.22E+00	2.51E+00
TCGA-50-5068	1.14E+00	4.09E-01	1.34E+00	4.04E-01	1.09E+00	8.75E-01	4.81E-01
