Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-86-8585	2.00E+00	1.27E+00	1.54E+00	1.68E+00
TCGA-86-8668	4.56E-01	0.00E+00	2.89E-01	5.25E-01
TCGA-86-8669	1.05E+00	5.04E-01	5.88E-01	1.00E+00
TCGA-86-8671	3.90E-01	0.00E+00	4.45E-01	5.53E-01
TCGA-86-8672	1.47E+00	1.01E+00	1.05E+00	1.27E+00
TCGA-86-8673	1.95E+00	1.31E+00	1.06E+00	1.58E+00
TCGA-86-8674	1.66E+00	1.07E+00	7.82E-01	1.10E+00
TCGA-86-A456	1.76E+00	1.27E+00	7.97E-01	1.24E+00
TCGA-86-A4JF	3.13E+00	1.78E+00	1.80E+00	3.87E+00
TCGA-86-A4P7	6.71E-01	0.00E+00	5.87E-01	7.56E-01
TCGA-86-A4P8	5.13E-02	0.00E+00	0.00E+00	5.13E-02
TCGA-91-6828	2.41E+00	1.52E+00	1.30E+00	1.75E+00
TCGA-91-6829	2.75E+00	1.56E+00	1.10E+00	2.03E+00
TCGA-91-6830	1.00E+00	7.26E-01	1.11E+00	8.45E-01
TCGA-91-6831	1.77E+00	7.49E-01	6.68E-01	1.62E+00
TCGA-91-6835	9.50E-01	3.73E-01	4.41E-01	8.37E-01
TCGA-91-6836	2.28E+00	1.57E+00	8.75E-01	1.59E+00
TCGA-91-6840	8.10E-01	6.56E-01	9.10E-01	8.41E-01
TCGA-91-6847	6.58E-01	5.23E-01	5.28E-01	7.18E-01
TCGA-91-6848	2.46E+00	1.50E+00	1.11E+00	2.04E+00
TCGA-91-6849	1.05E+00	6.19E-01	6.02E-01	7.59E-01
TCGA-91-7771	1.32E+00	6.62E-01	8.92E-01	1.37E+00
TCGA-91-8496	2.35E-01	1.72E-01	3.03E-01	3.56E-01
TCGA-91-8497	5.72E-01	3.03E-01	3.90E-01	5.48E-01
TCGA-91-8499	1.72E+00	1.12E+00	1.11E+00	1.28E+00
TCGA-91-A4BC	2.03E+00	1.58E+00	8.09E-01	1.31E+00
TCGA-91-A4BD	2.37E-01	0.00E+00	1.98E-01	2.88E-01
TCGA-93-7347	1.05E+00	6.06E-01	4.34E-01	8.38E-01
TCGA-93-7348	1.65E+00	7.28E-01	8.84E-01	1.46E+00
TCGA-93-8067	1.69E+00	8.07E-01	1.92E+00	1.52E+00
TCGA-93-A4JN	7.09E-01	3.37E-01	5.05E-01	8.42E-01
TCGA-93-A4JO	6.54E-01	1.40E-01	5.67E-01	6.76E-01
TCGA-93-A4JP	6.65E-01	1.33E-01	6.76E-01	7.58E-01
TCGA-93-A4JQ	7.92E-01	4.50E-02	8.15E-01	9.27E-01
TCGA-95-7039	3.49E+00	2.93E+00	1.48E+00	2.37E+00
TCGA-95-7043	3.16E+00	2.34E+00	1.46E+00	1.96E+00
TCGA-95-7562	1.80E+00	1.49E+00	6.92E-01	1.12E+00
TCGA-95-7567	3.35E+00	1.55E+00	8.59E-01	3.11E+00
TCGA-95-7944	8.24E-01	3.43E-01	8.91E-01	5.26E-01
TCGA-95-7947	2.01E+00	9.29E-01	1.93E+00	1.90E+00
TCGA-95-7948	3.00E-02	1.22E-01	7.01E-01	6.94E-01
TCGA-95-8039	1.01E+00	4.22E-01	5.71E-01	9.54E-01
TCGA-95-8494	5.44E-01	1.90E-01	7.23E-01	8.89E-01
TCGA-95-A4VK	1.42E+00	9.39E-01	6.11E-01	1.22E+00
TCGA-95-A4VN	2.04E+00	1.49E+00	1.00E+00	1.17E+00
TCGA-95-A4VP	9.32E-01	5.65E-01	4.18E-01	9.66E-01
TCGA-97-7546	1.54E+00	1.02E+00	6.22E-01	1.18E+00
TCGA-97-7547	1.13E+00	6.66E-01	8.37E-01	1.06E+00
TCGA-97-7552	5.82E-01	3.20E-01	1.03E-01	5.78E-01
TCGA-97-7553	6.98E-01	3.93E-01	2.43E-01	5.51E-01
TCGA-97-7554	1.91E+00	1.32E+00	8.28E-01	1.44E+00
TCGA-97-7937	1.81E+00	1.32E+00	9.46E-01	1.35E+00
TCGA-97-7938	1.92E+00	1.26E+00	9.99E-01	1.32E+00
